Origin,DayOfWeek,hour,count
HOU,1,0,4
HOU,1,1,2
HOU,1,5,122
HOU,1,6,585
HOU,1,7,383
HOU,1,8,508
HOU,1,9,415
HOU,1,10,536
HOU,1,11,493
HOU,1,12,439
HOU,1,13,455
HOU,1,14,444
HOU,1,15,471
HOU,1,16,474
HOU,1,17,519
HOU,1,18,486
HOU,1,19,538
HOU,1,20,517
HOU,1,21,280
HOU,1,22,71
HOU,1,23,15
HOU,2,0,1
HOU,2,5,122
HOU,2,6,607
HOU,2,7,392
HOU,2,8,539
HOU,2,9,408
HOU,2,10,542
HOU,2,11,516
HOU,2,12,426
HOU,2,13,450
HOU,2,14,448
HOU,2,15,499
HOU,2,16,460
HOU,2,17,512
HOU,2,18,477
HOU,2,19,570
HOU,2,20,518
HOU,2,21,250
HOU,2,22,57
HOU,2,23,22
HOU,3,0,4
HOU,3,1,4
HOU,3,5,134
HOU,3,6,580
HOU,3,7,381
HOU,3,8,535
HOU,3,9,414
HOU,3,10,533
HOU,3,11,488
HOU,3,12,439
HOU,3,13,463
HOU,3,14,458
HOU,3,15,472
HOU,3,16,459
HOU,3,17,515
HOU,3,18,473
HOU,3,19,589
HOU,3,20,495
HOU,3,21,294
HOU,3,22,68
HOU,3,23,17
HOU,4,0,10
HOU,4,1,5
HOU,4,5,114
HOU,4,6,602
HOU,4,7,378
HOU,4,8,535
HOU,4,9,415
HOU,4,10,516
HOU,4,11,504
HOU,4,12,468
HOU,4,13,436
HOU,4,14,455
HOU,4,15,482
HOU,4,16,437
HOU,4,17,514
HOU,4,18,461
HOU,4,19,527
HOU,4,20,514
HOU,4,21,332
HOU,4,22,82
HOU,4,23,24
HOU,5,0,10
HOU,5,1,2
HOU,5,5,111
HOU,5,6,610
HOU,5,7,368
HOU,5,8,519
HOU,5,9,411
HOU,5,10,533
HOU,5,11,497
HOU,5,12,447
HOU,5,13,441
HOU,5,14,461
HOU,5,15,489
HOU,5,16,459
HOU,5,17,533
HOU,5,18,479
HOU,5,19,564
HOU,5,20,525
HOU,5,21,268
HOU,5,22,77
HOU,5,23,16
HOU,6,5,72
HOU,6,6,264
HOU,6,7,234
HOU,6,8,337
HOU,6,9,460
HOU,6,10,539
HOU,6,11,409
HOU,6,12,454
HOU,6,13,340
HOU,6,14,397
HOU,6,15,414
HOU,6,16,302
HOU,6,17,429
HOU,6,18,396
HOU,6,19,386
HOU,6,20,190
HOU,6,21,27
HOU,6,22,6
HOU,7,0,5
HOU,7,4,1
HOU,7,5,45
HOU,7,6,221
HOU,7,7,239
HOU,7,8,282
HOU,7,9,337
HOU,7,10,521
HOU,7,11,503
HOU,7,12,439
HOU,7,13,444
HOU,7,14,443
HOU,7,15,478
HOU,7,16,455
HOU,7,17,498
HOU,7,18,476
HOU,7,19,537
HOU,7,20,490
HOU,7,21,256
HOU,7,22,78
HOU,7,23,18
IAH,1,0,7
IAH,1,1,1
IAH,1,5,246
IAH,1,6,341
IAH,1,7,2211
IAH,1,8,1128
IAH,1,9,1694
IAH,1,10,2290
IAH,1,11,1725
IAH,1,12,1340
IAH,1,13,1956
IAH,1,14,2116
IAH,1,15,1936
IAH,1,16,1245
IAH,1,17,1582
IAH,1,18,1456
IAH,1,19,2306
IAH,1,20,948
IAH,1,21,1520
IAH,1,22,158
IAH,1,23,69
IAH,2,0,7
IAH,2,5,259
IAH,2,6,319
IAH,2,7,2180
IAH,2,8,1117
IAH,2,9,1724
IAH,2,10,1057
IAH,2,11,746
IAH,2,12,1167
IAH,2,13,1903
IAH,2,14,2066
IAH,2,15,1874
IAH,2,16,1277
IAH,2,17,1595
IAH,2,18,1426
IAH,2,19,2299
IAH,2,20,830
IAH,2,21,1423
IAH,2,22,149
IAH,2,23,53
IAH,3,0,10
IAH,3,5,259
IAH,3,6,316
IAH,3,7,2219
IAH,3,8,1125
IAH,3,9,1689
IAH,3,10,947
IAH,3,11,680
IAH,3,12,1165
IAH,3,13,1916
IAH,3,14,2116
IAH,3,15,1893
IAH,3,16,1241
IAH,3,17,1671
IAH,3,18,1503
IAH,3,19,2276
IAH,3,20,948
IAH,3,21,1518
IAH,3,22,160
IAH,3,23,74
IAH,4,0,17
IAH,4,1,3
IAH,4,5,226
IAH,4,6,364
IAH,4,7,2205
IAH,4,8,1176
IAH,4,9,1668
IAH,4,10,2378
IAH,4,11,1792
IAH,4,12,1371
IAH,4,13,1902
IAH,4,14,2068
IAH,4,15,1903
IAH,4,16,1276
IAH,4,17,1536
IAH,4,18,1464
IAH,4,19,2224
IAH,4,20,977
IAH,4,21,1599
IAH,4,22,234
IAH,4,23,107
IAH,5,0,29
IAH,5,1,5
IAH,5,2,1
IAH,5,5,231
IAH,5,6,351
IAH,5,7,2134
IAH,5,8,1126
IAH,5,9,1652
IAH,5,10,2415
IAH,5,11,1776
IAH,5,12,1317
IAH,5,13,1905
IAH,5,14,2108
IAH,5,15,1862
IAH,5,16,1271
IAH,5,17,1574
IAH,5,18,1561
IAH,5,19,2277
IAH,5,20,1014
IAH,5,21,1620
IAH,5,22,183
IAH,5,23,85
IAH,6,0,3
IAH,6,1,1
IAH,6,5,237
IAH,6,6,253
IAH,6,7,1659
IAH,6,8,909
IAH,6,9,1532
IAH,6,10,2271
IAH,6,11,1544
IAH,6,12,1234
IAH,6,13,1558
IAH,6,14,1625
IAH,6,15,1578
IAH,6,16,1077
IAH,6,17,1193
IAH,6,18,1245
IAH,6,19,2047
IAH,6,20,602
IAH,6,21,1063
IAH,6,22,57
IAH,6,23,17
IAH,7,0,7
IAH,7,1,1
IAH,7,5,215
IAH,7,6,266
IAH,7,7,1253
IAH,7,8,937
IAH,7,9,1533
IAH,7,10,2272
IAH,7,11,1834
IAH,7,12,1345
IAH,7,13,1827
IAH,7,14,2078
IAH,7,15,1841
IAH,7,16,1274
IAH,7,17,1570
IAH,7,18,1502
IAH,7,19,2233
IAH,7,20,1073
IAH,7,21,1653
IAH,7,22,182
IAH,7,23,90
IAH,2,1,0
IAH,3,1,0
IAH,1,2,0
IAH,2,2,0
IAH,3,2,0
IAH,4,2,0
IAH,6,2,0
IAH,7,2,0
IAH,1,3,0
IAH,2,3,0
IAH,3,3,0
IAH,4,3,0
IAH,5,3,0
IAH,6,3,0
IAH,7,3,0
IAH,1,4,0
IAH,2,4,0
IAH,3,4,0
IAH,4,4,0
IAH,5,4,0
IAH,6,4,0
IAH,7,4,0
HOU,6,0,0
HOU,2,1,0
HOU,6,1,0
HOU,7,1,0
HOU,1,2,0
HOU,2,2,0
HOU,3,2,0
HOU,4,2,0
HOU,5,2,0
HOU,6,2,0
HOU,7,2,0
HOU,1,3,0
HOU,2,3,0
HOU,3,3,0
HOU,4,3,0
HOU,5,3,0
HOU,6,3,0
HOU,7,3,0
HOU,1,4,0
HOU,2,4,0
HOU,3,4,0
HOU,4,4,0
HOU,5,4,0
HOU,6,4,0
HOU,6,23,0
